pitch [deg],pAtm [hPa],Tatm [C],rho [km/m3],Qinf [Pa],Vinf [m/s],Ps (gauge) [Pa],Pt (gauge) [Pa],n [Hz],J [-],P1 (gauge) [Pa],P2 (gauge) [Pa],P3 (gauge) [Pa],P4 (gauge) [Pa],P5 (gauge) [Pa],X [m],Y [m],Z [m]
15,1018.16776,13.7816,1.236172,556.362041,30.002277,21.167814,577.879037,123.032114,0.600042526,385.403503,432.84221,458.016646,396.267751,674.558336,0.07444,0.1742,0
15,1018.16376,13.7948,1.236111,556.119736,29.996491,21.120274,577.610757,123.028442,0.599944713,418.175692,470.543339,499.711046,431.559282,732.034692,0.07444,0.16783,0
15,1018.1713,13.7992,1.236101,556.294214,30.001316,21.20457,577.827473,123.029053,0.600038235,445.201023,501.646629,538.890374,462.978387,780.368293,0.07444,0.16093,0
15,1018.14986,13.7992,1.236075,556.271479,30.001019,21.409787,578.111337,123.030536,0.600025062,464.091531,524.370154,573.118738,488.526163,817.626046,0.07444,0.15353,0
15,1018.17568,13.8,1.236103,556.057083,29.994898,21.272888,577.636598,123.030476,0.599902934,475.8854,541.245065,602.276903,508.017863,846.731661,0.07444,0.14567,0
15,1018.17688,13.8,1.236104,556.383162,30.003674,21.594751,578.277302,123.029902,0.600081255,487.254962,555.091924,625.719257,525.619963,870.504238,0.07444,0.13739,0
15,1018.162,13.8,1.236086,556.213905,29.999329,21.573579,578.029077,123.028592,0.600000743,488.370995,559.9492,639.919791,533.390499,880.901053,0.07444,0.12872,0
15,1018.18918,13.8,1.236119,556.170712,29.997764,21.532154,577.997915,123.029324,0.599965872,483.404175,556.735719,642.983561,533.866959,879.549424,0.07444,0.11971,0
15,1018.1925,13.8072,1.236092,556.21979,29.999415,21.764264,578.416899,123.029983,0.599995679,474.25925,547.306992,637.992545,529.697318,869.862623,0.07444,0.11042,0
15,1018.21518,13.82,1.236065,556.158656,29.998101,21.796615,578.261975,123.030273,0.599967984,459.940117,532.065341,625.729254,519.836875,852.397452,0.07444,0.10087,0
15,1018.18236,13.82,1.236025,556.120163,29.997546,22.209546,578.757955,123.031833,0.599949277,441.241618,511.074828,604.881479,503.837244,825.449722,0.07444,0.09113,0
15,1018.16966,13.82,1.236009,556.135541,29.998148,21.924045,578.33418,123.028576,0.5999772,418.098036,483.543464,573.639175,481.065917,788.254229,0.07444,0.08124,0
15,1018.20708,13.82,1.236055,556.216183,29.999772,21.998084,578.488962,123.031165,0.599997055,390.769255,447.487417,526.299639,448.189242,734.186277,0.07444,0.07124,0
15,1018.17264,13.82,1.236013,556.211816,30.000161,22.008604,578.396393,123.031488,0.600003259,373.239117,416.32869,480.658985,417.778403,681.556357,0.07444,0.0612,0
15,1018.17174,13.82,1.236012,556.729891,30.014142,21.27782,578.199781,123.024333,0.600317791,370.190071,374.549666,377.066775,354.794927,577.967637,0.09667,0.25,0
15,1018.1806,13.82,1.236023,556.020441,29.994882,20.977787,577.471166,123.029089,0.599909377,369.472236,373.9901,376.530614,354.004187,576.84981,0.09667,0.24279,0
15,1018.19314,13.82,1.236038,555.843305,29.98992,20.98857,577.228206,123.03018,0.599804816,370.06481,374.491079,376.88569,354.356425,576.934497,0.09667,0.23609,0
15,1018.19208,13.82,1.236037,556.091352,29.996626,21.009414,577.599844,123.029728,0.599941142,370.604841,375.156241,377.342806,354.870741,577.364208,0.09667,0.22993,0
15,1018.19856,13.82,1.236044,556.124672,29.997429,20.914269,577.440265,123.030436,0.599953749,370.73431,375.357709,377.431571,354.95175,577.284297,0.09667,0.22435,0
15,1018.17028,13.82,1.23601,556.080958,29.996667,20.803343,577.280159,123.02892,0.599945902,370.428164,375.220024,377.457217,354.843914,576.902942,0.09667,0.21938,0
15,1018.17746,13.82,1.236019,556.24732,30.001048,20.697348,577.2747,123.031,0.600023379,369.981961,374.95063,377.53527,354.616278,576.74395,0.09667,0.21504,0
15,1018.21216,13.82,1.236061,556.269391,30.001132,20.866992,577.76021,123.030881,0.60002564,369.363083,375.601133,378.668792,354.491678,577.411676,0.09667,0.21135,0
15,1018.2081,13.82,1.236056,556.240722,30.000418,20.909206,577.404297,123.029775,0.600016754,363.738267,373.508724,379.204421,351.434213,575.354722,0.09667,0.20833,0
15,1018.18356,13.82,1.236026,555.897652,29.991527,20.771649,577.083619,123.031515,0.599830448,356.321875,370.694014,380.142334,347.148267,572.067191,0.09667,0.206,0
